Entity,Code,Year,Prevalence of current tobacco use (% of adults)
Latin America & Caribbean (excluding high income),,2012,18.6002211629084
Latin America & Caribbean (excluding high income),,2014,17.2304211408991
Latin America & Caribbean (excluding high income),,2016,15.9741879024958
Latin America & Caribbean (excluding high income),,2018,14.7948404196645
Latvia,LVA,2007,39
Latvia,LVA,2010,38.4
Latvia,LVA,2012,37.9
Latvia,LVA,2014,37.5
Latvia,LVA,2016,37.1
Latvia,LVA,2018,36.7
Least developed countries: UN classification,,2007,30.0448673953858
Least developed countries: UN classification,,2010,27.769065182755
Least developed countries: UN classification,,2012,26.3662555949944
Least developed countries: UN classification,,2014,25.0558536863771
Least developed countries: UN classification,,2016,23.83437916644
Least developed countries: UN classification,,2018,22.7454190404146
Lebanon,LBN,2007,43.3
Lebanon,LBN,2010,42.9
Lebanon,LBN,2012,42.9
Lebanon,LBN,2014,42.7
Lebanon,LBN,2016,42.6
Lebanon,LBN,2018,42.6
Lesotho,LSO,2007,25.1
Lesotho,LSO,2010,26
Lesotho,LSO,2012,26.8
Lesotho,LSO,2014,27.7
Lesotho,LSO,2016,28.7
Lesotho,LSO,2018,29.7
Liberia,LBR,2007,11.3
Liberia,LBR,2010,10.4
Liberia,LBR,2012,9.9
Liberia,LBR,2014,9.3
Liberia,LBR,2016,8.8
Liberia,LBR,2018,8.4
Lithuania,LTU,2007,32.4
Lithuania,LTU,2010,30.8
Lithuania,LTU,2012,29.8
Lithuania,LTU,2014,29
Lithuania,LTU,2016,28
Lithuania,LTU,2018,27.1
Low & middle income,,2007,29.6534243245859
Low & middle income,,2010,27.7976499710699
Low & middle income,,2012,26.6449811214144
Low & middle income,,2014,25.5444098768774
Low & middle income,,2016,24.563767103485
Low & middle income,,2018,23.6153454278696
Lower middle income,,2007,33.2759232830242
Lower middle income,,2010,30.6625909175006
Lower middle income,,2012,29.1083287656845
Lower middle income,,2014,27.6870439144685
Lower middle income,,2016,26.3874969902788
Lower middle income,,2018,25.1338549253083
Luxembourg,LUX,2007,26.2
Luxembourg,LUX,2010,24.9
Luxembourg,LUX,2012,24
Luxembourg,LUX,2014,23.3
Luxembourg,LUX,2016,22.5
Luxembourg,LUX,2018,21.7
Madagascar,MDG,2007,36.5
Madagascar,MDG,2010,34
Madagascar,MDG,2012,32.5
Madagascar,MDG,2014,31.2
Madagascar,MDG,2016,30
Madagascar,MDG,2018,28.9
Malawi,MWI,2007,19.5
Malawi,MWI,2010,17.4
Malawi,MWI,2012,16
Malawi,MWI,2014,14.9
Malawi,MWI,2016,13.8
Malawi,MWI,2018,12.8
Malaysia,MYS,2007,25.7
Malaysia,MYS,2010,24.5
Malaysia,MYS,2012,23.8
Malaysia,MYS,2014,23.1
Malaysia,MYS,2016,22.5
Malaysia,MYS,2018,21.8
Mali,MLI,2007,12.5
Mali,MLI,2010,12.3
Mali,MLI,2012,12.2
Mali,MLI,2014,12.1
Mali,MLI,2016,12.1
Mali,MLI,2018,12
Malta,MLT,2007,30.1
Malta,MLT,2010,28.6
Malta,MLT,2012,27.8
Malta,MLT,2014,26.8
Malta,MLT,2016,25.9
Malta,MLT,2018,25.1
Mauritius,MUS,2007,31.7
Mauritius,MUS,2010,30.1
Mauritius,MUS,2012,29.1
Mauritius,MUS,2014,28.2
Mauritius,MUS,2016,27.6
Mauritius,MUS,2018,26.9
Mexico,MEX,2007,19.4
Mexico,MEX,2010,17.7
Mexico,MEX,2012,16.7
Mexico,MEX,2014,15.7
Mexico,MEX,2016,14.8
Mexico,MEX,2018,13.9
Middle East & North Africa,,2007,21.3039238522432
Middle East & North Africa,,2010,20.4449259111449
Middle East & North Africa,,2012,19.9953440867714
Middle East & North Africa,,2014,19.6351842456058
Middle East & North Africa,,2016,19.2115119355894
Middle East & North Africa,,2018,18.881129803824
Middle East & North Africa (IDA & IBRD),,2007,21.624116441242
Middle East & North Africa (IDA & IBRD),,2010,20.7377457019472
Middle East & North Africa (IDA & IBRD),,2012,20.2741908885622
Middle East & North Africa (IDA & IBRD),,2014,19.8889161227707
Middle East & North Africa (IDA & IBRD),,2016,19.4422653027161
Middle East & North Africa (IDA & IBRD),,2018,19.0771407592796
Middle East & North Africa (excluding high income),,2007,21.624116441242
Middle East & North Africa (excluding high income),,2010,20.7377457019472
Middle East & North Africa (excluding high income),,2012,20.2741908885622
Middle East & North Africa (excluding high income),,2014,19.8889161227707
Middle East & North Africa (excluding high income),,2016,19.4422653027161
Middle East & North Africa (excluding high income),,2018,19.0771407592796
Middle income,,2007,30.2932733630331
Middle income,,2010,28.4370670334845
Middle income,,2012,27.2863414931834
Middle income,,2014,26.1875659516031
Middle income,,2016,25.2118623391994
Middle income,,2018,24.267294601066
Moldova,MDA,2007,24.7
Moldova,MDA,2010,24.8
Moldova,MDA,2012,25
Moldova,MDA,2014,25
Moldova,MDA,2016,25.1
Moldova,MDA,2018,25.3
Mongolia,MNG,2007,33.4
Mongolia,MNG,2010,31.9
Mongolia,MNG,2012,30.7
Mongolia,MNG,2014,29.6
Mongolia,MNG,2016,28.4
Mongolia,MNG,2018,27.6
Morocco,MAR,2007,19.4
Morocco,MAR,2010,18
Morocco,MAR,2012,17.1
Morocco,MAR,2014,16.4
Morocco,MAR,2016,15.5
Morocco,MAR,2018,14.7
Mozambique,MOZ,2007,21.4
Mozambique,MOZ,2010,19.2
Mozambique,MOZ,2012,17.9
Mozambique,MOZ,2014,16.6
Mozambique,MOZ,2016,15.4
Mozambique,MOZ,2018,14.4
Myanmar,MMR,2007,55.4
Myanmar,MMR,2010,52.5
Myanmar,MMR,2012,50.5
Myanmar,MMR,2014,48.8
Myanmar,MMR,2016,46.8
Myanmar,MMR,2018,45.5
Namibia,NAM,2007,21.9
Namibia,NAM,2010,20.4
Namibia,NAM,2012,19.6
Namibia,NAM,2014,18.9
Namibia,NAM,2016,18.3
Namibia,NAM,2018,17.9
Nauru,NRU,2007,62.8
Nauru,NRU,2010,59.5
Nauru,NRU,2012,57.5
Nauru,NRU,2014,55.7
Nauru,NRU,2016,53.9
Nauru,NRU,2018,52.1
Nepal,NPL,2007,49
Nepal,NPL,2010,43.4
Nepal,NPL,2012,40
Nepal,NPL,2014,37
Nepal,NPL,2016,34.3
Nepal,NPL,2018,31.9
Netherlands,NLD,2007,28.4
Netherlands,NLD,2010,27
Netherlands,NLD,2012,26.1
Netherlands,NLD,2014,25.1
Netherlands,NLD,2016,24.3
Netherlands,NLD,2018,23.4
New Zealand,NZL,2007,22.5
New Zealand,NZL,2010,20.1
New Zealand,NZL,2012,18.6
New Zealand,NZL,2014,17.3
New Zealand,NZL,2016,16
New Zealand,NZL,2018,14.8
Niger,NER,2007,8
Niger,NER,2010,8.1
Niger,NER,2012,8.3
Niger,NER,2014,8.4
Niger,NER,2016,8.4
Niger,NER,2018,8.6
Nigeria,NGA,2007,6.1
Nigeria,NGA,2010,5.7
Nigeria,NGA,2012,5.4
Nigeria,NGA,2014,5.2
Nigeria,NGA,2016,5
Nigeria,NGA,2018,4.8
North America,,2007,28.997605698605
North America,,2010,27.5698224878515
North America,,2012,26.7238503080262
North America,,2014,25.8078161132184
North America,,2016,25.0135386701797
North America,,2018,24.3017132229155
North Korea,PRK,2007,20.3
North Korea,PRK,2010,19.8
North Korea,PRK,2012,19.5
North Korea,PRK,2014,19.2
North Korea,PRK,2016,19
North Korea,PRK,2018,18.8
Norway,NOR,2007,20.7
Norway,NOR,2010,18.2
Norway,NOR,2012,16.7
Norway,NOR,2014,15.4
Norway,NOR,2016,14.1
Norway,NOR,2018,13
OECD members,,2007,28.9452445294849
OECD members,,2010,27.3125842048424
OECD members,,2012,26.3564316664942
OECD members,,2014,25.4205826060824
OECD members,,2016,24.5861982389365
OECD members,,2018,23.791912268583
Oman,OMN,2007,9.5
Oman,OMN,2010,9.6
Oman,OMN,2012,9.5
Oman,OMN,2014,9.6
Oman,OMN,2016,9.6
Oman,OMN,2018,9.6
Other small states,,2007,26.7380937660887
Other small states,,2010,25.1300370232167
Other small states,,2012,24.3093343048483
Other small states,,2014,23.625080758541
Other small states,,2016,23.0630686481452
Other small states,,2018,22.6038069533875
Pacific island small states,,2007,34.3229626020124
Pacific island small states,,2010,33.2601974099546
Pacific island small states,,2012,32.7158897064118
Pacific island small states,,2014,32.0674981887063
Pacific island small states,,2016,31.463512816346
Pacific island small states,,2018,31.0274649916481
Pakistan,PAK,2007,30.7
Pakistan,PAK,2010,27.1
Pakistan,PAK,2012,25.1
Pakistan,PAK,2014,23.2
Pakistan,PAK,2016,21.6
Pakistan,PAK,2018,20
Palau,PLW,2007,29.5
Palau,PLW,2010,27.7
Palau,PLW,2012,26.6
Palau,PLW,2014,25.7
Palau,PLW,2016,24.7
Palau,PLW,2018,23.7
Panama,PAN,2007,11.8
Panama,PAN,2010,10.1
Panama,PAN,2012,9.2
Panama,PAN,2014,8.3
Panama,PAN,2016,7.6
Panama,PAN,2018,6.9
Paraguay,PRY,2007,21.2
Paraguay,PRY,2010,18.5
Paraguay,PRY,2012,16.8
Paraguay,PRY,2014,15.4
Paraguay,PRY,2016,14
Paraguay,PRY,2018,12.8
Peru,PER,2007,20.6
Peru,PER,2010,16.6
Peru,PER,2012,14.5
Peru,PER,2014,12.6
Peru,PER,2016,11
Peru,PER,2018,9.6
Philippines,PHL,2007,30.5
Philippines,PHL,2010,28.6
Philippines,PHL,2012,27.4
Philippines,PHL,2014,26.2
Philippines,PHL,2016,25.1
Philippines,PHL,2018,24.3
Poland,POL,2007,34.1
Poland,POL,2010,31.6
Poland,POL,2012,30.1
Poland,POL,2014,28.6
Poland,POL,2016,27.4
Poland,POL,2018,26
Portugal,PRT,2007,26.1
Portugal,PRT,2010,26.4
Portugal,PRT,2012,26.8
Portugal,PRT,2014,27.1
Portugal,PRT,2016,27.5
Portugal,PRT,2018,27.9
Post-demographic dividend,,2007,30.1116748842368
Post-demographic dividend,,2010,28.4503063528929
Post-demographic dividend,,2012,27.4917672206202
Post-demographic dividend,,2014,26.5479756753442
Post-demographic dividend,,2016,25.6945552128879
Post-demographic dividend,,2018,24.9086794126874
Pre-demographic dividend,,2007,14.5554930765592
Pre-demographic dividend,,2010,13.4766828579068
Pre-demographic dividend,,2012,12.8611180791299
Pre-demographic dividend,,2014,12.3035811762535
Pre-demographic dividend,,2016,11.7759026188479
Pre-demographic dividend,,2018,11.2942044275726
Qatar,QAT,2007,14.9
Qatar,QAT,2010,14.5
Qatar,QAT,2012,14.3
Qatar,QAT,2014,14.3
Qatar,QAT,2016,14.1
Qatar,QAT,2018,14
Romania,ROU,2007,34.4
Romania,ROU,2010,31.6
Romania,ROU,2012,29.8
Romania,ROU,2014,28.3
Romania,ROU,2016,26.8
Romania,ROU,2018,25.5
Russia,RUS,2007,31.5
Russia,RUS,2010,30.6
Russia,RUS,2012,29.9
Russia,RUS,2014,29.3
Russia,RUS,2016,28.7
Russia,RUS,2018,28.3
Rwanda,RWA,2007,17
Rwanda,RWA,2010,15.9
Rwanda,RWA,2012,15.2
Rwanda,RWA,2014,14.5
Rwanda,RWA,2016,13.9
Rwanda,RWA,2018,13.3
Samoa,WSM,2007,35.6
Samoa,WSM,2010,33.5
Samoa,WSM,2012,32.3
Samoa,WSM,2014,31
Samoa,WSM,2016,29.9
Samoa,WSM,2018,28.9
Sao Tome and Principe,STP,2007,5.9
Sao Tome and Principe,STP,2010,5.7
Sao Tome and Principe,STP,2012,5.6
Sao Tome and Principe,STP,2014,5.6
Sao Tome and Principe,STP,2016,5.5
Sao Tome and Principe,STP,2018,5.4
Saudi Arabia,SAU,2007,16.8
Saudi Arabia,SAU,2010,16.6
Saudi Arabia,SAU,2012,16.6
Saudi Arabia,SAU,2014,16.7
Saudi Arabia,SAU,2016,16.6
Saudi Arabia,SAU,2018,16.6
Senegal,SEN,2007,12.1
Senegal,SEN,2010,11.2
Senegal,SEN,2012,10.6
Senegal,SEN,2014,10
Senegal,SEN,2016,9.5
Senegal,SEN,2018,9.1
Serbia,SRB,2007,43.6
Serbia,SRB,2010,42.7
Serbia,SRB,2012,42.2
Serbia,SRB,2014,41.7
Serbia,SRB,2016,41.2
Serbia,SRB,2018,40.6
Seychelles,SYC,2007,23.7
Seychelles,SYC,2010,22.9
Seychelles,SYC,2012,22.4
Seychelles,SYC,2014,21.9
Seychelles,SYC,2016,21.5
Seychelles,SYC,2018,21.1
Sierra Leone,SLE,2007,28.6
Sierra Leone,SLE,2010,25.7
Sierra Leone,SLE,2012,24
Sierra Leone,SLE,2014,22.5
Sierra Leone,SLE,2016,21.1
Sierra Leone,SLE,2018,19.8
Singapore,SGP,2007,16.5
Singapore,SGP,2010,16.5
Singapore,SGP,2012,16.5
Singapore,SGP,2014,16.5
Singapore,SGP,2016,16.6
Singapore,SGP,2018,16.5
Slovakia,SVK,2007,31.9
Slovakia,SVK,2010,31.9
Slovakia,SVK,2012,32
Slovakia,SVK,2014,32.1
Slovakia,SVK,2016,32.1
Slovakia,SVK,2018,32.3
Slovenia,SVN,2007,24.3
Slovenia,SVN,2010,23.8
Slovenia,SVN,2012,23.5
Slovenia,SVN,2014,23.3
Slovenia,SVN,2016,23
Slovenia,SVN,2018,22.7
Small states,,2007,25.2505815550045
Small states,,2010,23.7995853578803
Small states,,2012,23.0090867632614
Small states,,2014,22.3398605483258
Small states,,2016,21.7651317160918
Small states,,2018,21.3215337656457
Solomon Islands,SLB,2007,40.4
Solomon Islands,SLB,2010,39.5
Solomon Islands,SLB,2012,39.1
Solomon Islands,SLB,2014,38.6
Solomon Islands,SLB,2016,38.1
Solomon Islands,SLB,2018,37.9
South Africa,ZAF,2007,35
South Africa,ZAF,2010,33.9
South Africa,ZAF,2012,33.1
South Africa,ZAF,2014,32.5
South Africa,ZAF,2016,32
South Africa,ZAF,2018,31.4
South Asia,,2007,38.3516797555211
South Asia,,2010,34.8056673352696
South Asia,,2012,32.7105363112518
South Asia,,2014,30.786924068312
South Asia,,2016,29.0780149705397
South Asia,,2018,27.3747656735438
South Asia (IDA & IBRD),,2007,38.3516797555211
South Asia (IDA & IBRD),,2010,34.8056673352696
South Asia (IDA & IBRD),,2012,32.7105363112518
South Asia (IDA & IBRD),,2014,30.786924068312
South Asia (IDA & IBRD),,2016,29.0780149705397
South Asia (IDA & IBRD),,2018,27.3747656735438
South Korea,KOR,2007,29.1
South Korea,KOR,2010,26.9
South Korea,KOR,2012,25.7
South Korea,KOR,2014,24.4
South Korea,KOR,2016,23.3
South Korea,KOR,2018,22
Spain,ESP,2007,33.3
Spain,ESP,2010,31.6
Spain,ESP,2012,30.6
Spain,ESP,2014,29.6
Spain,ESP,2016,28.8
Spain,ESP,2018,27.9
Sri Lanka,LKA,2007,25.5
Sri Lanka,LKA,2010,24.6
Sri Lanka,LKA,2012,24.1
Sri Lanka,LKA,2014,23.6
Sri Lanka,LKA,2016,23.3
Sri Lanka,LKA,2018,22.9
Sub-Saharan Africa,,2007,14.7650580151859
Sub-Saharan Africa,,2010,13.7270772615088
Sub-Saharan Africa,,2012,13.071798134217
Sub-Saharan Africa,,2014,12.4869024269528
Sub-Saharan Africa,,2016,11.9524517087862
Sub-Saharan Africa,,2018,11.4485000242946
Sub-Saharan Africa (IDA & IBRD),,2007,14.7650580151858
Sub-Saharan Africa (IDA & IBRD),,2010,13.7270772615088
Sub-Saharan Africa (IDA & IBRD),,2012,13.071798134217
Sub-Saharan Africa (IDA & IBRD),,2014,12.4869024269528
Sub-Saharan Africa (IDA & IBRD),,2016,11.9524517087862
Sub-Saharan Africa (IDA & IBRD),,2018,11.4485000242946
Sub-Saharan Africa (excluding high income),,2007,14.763487111494
Sub-Saharan Africa (excluding high income),,2010,13.7254781330772
Sub-Saharan Africa (excluding high income),,2012,13.0702868865276
Sub-Saharan Africa (excluding high income),,2014,12.4854186727914
Sub-Saharan Africa (excluding high income),,2016,11.9509876027606
Sub-Saharan Africa (excluding high income),,2018,11.4470816175781
Sweden,SWE,2007,41.7
Sweden,SWE,2010,37.6
Sweden,SWE,2012,35.1
Sweden,SWE,2014,32.9
Sweden,SWE,2016,30.8
Sweden,SWE,2018,28.8
Switzerland,CHE,2007,27.1
Switzerland,CHE,2010,26.6
Switzerland,CHE,2012,26.2
Switzerland,CHE,2014,25.9
Switzerland,CHE,2016,25.4
Switzerland,CHE,2018,25.1
Tanzania,TZA,2007,18.7
Tanzania,TZA,2010,17
Tanzania,TZA,2012,16
Tanzania,TZA,2014,15
Tanzania,TZA,2016,14.1
Tanzania,TZA,2018,13.3
Thailand,THA,2007,28.1
Thailand,THA,2010,26.5
Thailand,THA,2012,25.4
Thailand,THA,2014,24.5
Thailand,THA,2016,23.6
Thailand,THA,2018,22.8
Timor,TLS,2007,48.5
Timor,TLS,2010,45.6
Timor,TLS,2012,43.7
Timor,TLS,2014,41.8
Timor,TLS,2016,39.9
Timor,TLS,2018,38.2
Togo,TGO,2007,9.9
Togo,TGO,2010,9.2
Togo,TGO,2012,8.8
Togo,TGO,2014,8.3
Togo,TGO,2016,7.9
Togo,TGO,2018,7.6
Tonga,TON,2007,31.7
Tonga,TON,2010,31.3
Tonga,TON,2012,31
Tonga,TON,2014,30.7
Tonga,TON,2016,30.4
Tonga,TON,2018,30.2
Tunisia,TUN,2007,33.6
Tunisia,TUN,2010,31.3
Tunisia,TUN,2012,29.9
Tunisia,TUN,2014,28.6
Tunisia,TUN,2016,27.1
Tunisia,TUN,2018,26
Turkey,TUR,2007,32.6
Turkey,TUR,2010,31.7
Turkey,TUR,2012,31
Turkey,TUR,2014,30.4
Turkey,TUR,2016,29.8
Turkey,TUR,2018,29.3
Tuvalu,TUV,2007,56.7
Tuvalu,TUV,2010,54.4
Tuvalu,TUV,2012,52.9
Tuvalu,TUV,2014,51.4
Tuvalu,TUV,2016,50
Tuvalu,TUV,2018,48.7
Uganda,UGA,2007,17.3
Uganda,UGA,2010,14.8
Uganda,UGA,2012,13.4
Uganda,UGA,2014,12
Uganda,UGA,2016,10.9
Uganda,UGA,2018,9.8
Ukraine,UKR,2007,32.9
Ukraine,UKR,2010,30.7
Ukraine,UKR,2012,29.3
Ukraine,UKR,2014,28
Ukraine,UKR,2016,26.6
Ukraine,UKR,2018,25.5
United Arab Emirates,ARE,2007,20
United Arab Emirates,ARE,2010,19.4
United Arab Emirates,ARE,2012,19.1
United Arab Emirates,ARE,2014,18.9
United Arab Emirates,ARE,2016,18.5
United Arab Emirates,ARE,2018,18.2
United Kingdom,GBR,2007,30.3
United Kingdom,GBR,2010,25.4
United Kingdom,GBR,2012,23.7
United Kingdom,GBR,2014,22
United Kingdom,GBR,2016,20.6
United Kingdom,GBR,2018,19.2
United States,USA,2007,29.1
United States,USA,2010,27.9
United States,USA,2012,27.2
United States,USA,2014,26.4
United States,USA,2016,25.7
United States,USA,2018,25.1
Upper middle income,,2007,27.3613684769502
Upper middle income,,2010,26.1785983669862
Upper middle income,,2012,25.3979995116152
Upper middle income,,2014,24.6005017607233
Upper middle income,,2016,23.9413306813137
Upper middle income,,2018,23.3113744112248
Uruguay,URY,2007,31.1
Uruguay,URY,2010,28.3
Uruguay,URY,2012,26.4
Uruguay,URY,2014,24.7
Uruguay,URY,2016,23.2
Uruguay,URY,2018,21.8
Uzbekistan,UZB,2007,14.4
Uzbekistan,UZB,2010,13.8
Uzbekistan,UZB,2012,13.4
Uzbekistan,UZB,2014,13
Uzbekistan,UZB,2016,12.6
Uzbekistan,UZB,2018,12.3
Vanuatu,VUT,2007,28.3
Vanuatu,VUT,2010,27.2
Vanuatu,VUT,2012,26.2
Vanuatu,VUT,2014,25.6
Vanuatu,VUT,2016,24.8
Vanuatu,VUT,2018,24.1
World,OWID_WRL,2007,29.680636333861
World,OWID_WRL,2010,27.8670072615142
World,OWID_WRL,2012,26.7552306678254
World,OWID_WRL,2014,25.6889459438251
World,OWID_WRL,2016,24.7393405917325
World,OWID_WRL,2018,23.8250238468837
Yemen,YEM,2007,26.2
Yemen,YEM,2010,24.5
Yemen,YEM,2012,23.5
Yemen,YEM,2014,22.6
Yemen,YEM,2016,21.7
Yemen,YEM,2018,20.9
Zambia,ZMB,2007,17.6
Zambia,ZMB,2010,16.7
Zambia,ZMB,2012,16.2
Zambia,ZMB,2014,15.7
Zambia,ZMB,2016,15.2
Zambia,ZMB,2018,14.7
Zimbabwe,ZWE,2007,16.4
Zimbabwe,ZWE,2010,15.6
Zimbabwe,ZWE,2012,15.2
Zimbabwe,ZWE,2014,14.7
Zimbabwe,ZWE,2016,14.3
Zimbabwe,ZWE,2018,13.9